"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"51","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Gagome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"560","0","0.6","7400","460","310",NA,NA,"260","0","21.2","970","1200","1200","29","0",NA,"750",NA,"62.1","0",NA,NA,"0.03","170","0","34.200000000000003","142","594",NA,NA,NA,"35",NA,"2",NA,NA,"80","10",NA,NA,NA,"1","1","8",NA,NA,"100","28","8","6","14","3",NA,NA,"2","2","39","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.11","0.12","0.13","0.4",NA,"0.36","0.11","0.04","0.07","0.12","0.13","42","0","1700","390","140",NA,"3.3","270","500","0.5","350","660","0.22","130",NA,"Energy: tentative value","1.5",NA,"0.13","300","320","5700","410","7.9","6.3","7.9","6.3","Estimation from 09017","0","98","0.32","7.6",NA,"300","3000","0.21","340","0.4","91","150","380","0","0.03","0","170","8.3000000000000007","0.8"
"52","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"53","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"54","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"55","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"56","Saccharina ochotensis","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"57","Saccharina religiosa　","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"58","Saccharina longissima","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Rishiri-kombu"", dried",9,"0","-","Estimation from 09017",NA,"570","0","1.0","7500","460","310",NA,NA,"260","15","20.3","980","850","850","0","0",NA,"760",NA,"56.5","0",NA,NA,"0.05","180","0","31.4","138","577",NA,NA,NA,"140",NA,"6",NA,NA,"320","40",NA,NA,NA,"3","5","33",NA,NA,"410","110","30","25","54","12",NA,NA,"6","7","150","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.45","0.47","0.51","1.5",NA,"1.43","0.45","0.17","0.30","0.47","0.51","170","0","1700","390","140",NA,"2.4","280","500","2.0","350","540","0.22","130",NA,"Energy: tentative value","2.0",NA,"0.24","310","240","5300","410","8.0","6.4","8.0","6.4","Estimation from 09017","0","71","0.35","6.9",NA,"310","2700","0.80","340","1.5","92","150","380","0","0.02","0","110","13.2","1.0"
"59","Saccharina sculpera","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Hosome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"490","0","1.5","6500","400","270",NA,NA,"230","25","17.2","850","1800","1800","22","0",NA,"900",NA,"62.9","0",NA,NA,"0.06","150","0","32.9","147","615",NA,NA,NA,"120",NA,"5",NA,NA,"270","34",NA,NA,NA,"3","4","28",NA,NA,"340","96","26","21","46","10",NA,NA,"5","6","130","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38","0.40","0.44","1.3",NA,"1.22","0.38","0.14","0.25","0.40","0.44","310","0","1500","340","120",NA,"9.6","240","430","1.7","300","590","0.61","110",NA,"Energy: tentative value","1.6",NA,"0.24","270","140","4000","350","6.9","5.5","6.9","5.5","Estimation from 09017","0","150","0.28000000000000003","6.1",NA,"260","2400","0.06","300","1.3","79","130","330","0","0.03","0","96","11.3","1.1000000000000001"
"60","Saccharina diabolica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Hosome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"490","0","1.5","6500","400","270",NA,NA,"230","25","17.2","850","1800","1800","22","0",NA,"900",NA,"62.9","0",NA,NA,"0.06","150","0","32.9","147","615",NA,NA,NA,"120",NA,"5",NA,NA,"270","34",NA,NA,NA,"3","4","28",NA,NA,"340","96","26","21","46","10",NA,NA,"5","6","130","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38","0.40","0.44","1.3",NA,"1.22","0.38","0.14","0.25","0.40","0.44","310","0","1500","340","120",NA,"9.6","240","430","1.7","300","590","0.61","110",NA,"Energy: tentative value","1.6",NA,"0.24","270","140","4000","350","6.9","5.5","6.9","5.5","Estimation from 09017","0","150","0.28000000000000003","6.1",NA,"260","2400","0.06","300","1.3","79","130","330","0","0.03","0","96","11.3","1.1000000000000001"
"61","Saccharina angustata","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Hosome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"490","0","1.5","6500","400","270",NA,NA,"230","25","17.2","850","1800","1800","22","0",NA,"900",NA,"62.9","0",NA,NA,"0.06","150","0","32.9","147","615",NA,NA,NA,"120",NA,"5",NA,NA,"270","34",NA,NA,NA,"3","4","28",NA,NA,"340","96","26","21","46","10",NA,NA,"5","6","130","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38","0.40","0.44","1.3",NA,"1.22","0.38","0.14","0.25","0.40","0.44","310","0","1500","340","120",NA,"9.6","240","430","1.7","300","590","0.61","110",NA,"Energy: tentative value","1.6",NA,"0.24","270","140","4000","350","6.9","5.5","6.9","5.5","Estimation from 09017","0","150","0.28000000000000003","6.1",NA,"260","2400","0.06","300","1.3","79","130","330","0","0.03","0","96","11.3","1.1000000000000001"
"62","Saccharina japonica","chromista","ochrophyta","phaeophyceae","laminariales","laminariaceae","saccharina","kombu","Algae, kombu, ""Hosome-kombu"", dried",9,"0","-","Estimation from 09017",NA,"490","0","1.5","6500","400","270",NA,NA,"230","25","17.2","850","1800","1800","22","0",NA,"900",NA,"62.9","0",NA,NA,"0.06","150","0","32.9","147","615",NA,NA,NA,"120",NA,"5",NA,NA,"270","34",NA,NA,NA,"3","4","28",NA,NA,"340","96","26","21","46","10",NA,NA,"5","6","130","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.38","0.40","0.44","1.3",NA,"1.22","0.38","0.14","0.25","0.40","0.44","310","0","1500","340","120",NA,"9.6","240","430","1.7","300","590","0.61","110",NA,"Energy: tentative value","1.6",NA,"0.24","270","140","4000","350","6.9","5.5","6.9","5.5","Estimation from 09017","0","150","0.28000000000000003","6.1",NA,"260","2400","0.06","300","1.3","79","130","330","0","0.03","0","96","11.3","1.1000000000000001"
